dzienne_zarazenia,dzienna_smierc,lacznie_1_dawka,lacznie_2_dawka,teraz_zarazeni,ozdrowiency
124455,3536,16580189,16569007,866833,116953
124529,3580,16580189,16569007,870252,117530
125474,3614,16580189,16569007,873596,118516
125175,3542,16580189,16569007,877260,117969
126018,3546,16580189,16569007,881248,118484
126665,3728,16580189,16569007,885156,119029
127136,3590,16580189,16569007,889200,119502
126776,3684,16580189,16569007,891487,120805
128158,3575,16580189,16569007,895237,120833
128138,3747,16580189,16569007,897786,121842
128664,3595,16580189,16569007,901511,121344
129465,3652,16580189,16569007,904872,122452
129015,3750,16580189,16569007,907453,122684
130277,3715,16580189,16569007,910476,123539
130311,3692,16580189,16569007,913968,123127
131020,3676,16580189,16569007,916950,124362
130717,3735,16580189,16569007,919346,124586
132283,3693,16580189,16569007,923302,124634
132230,3781,16580189,16569007,926113,125638
132459,3784,16580189,16569007,929431,125357
132636,3745,16580189,16569007,931928,126394
132994,3742,16580189,16569007,934650,126530
133351,3810,16580189,16569007,937009,127182
133857,3859,16580189,16569007,940234,126773
134061,3852,16580189,16569007,942074,128369
134771,3848,16580189,16569007,944446,128551
134419,3812,16580189,16569007,946543,128510
135557,3884,16580189,16569007,949546,128670
135188,3888,16580189,16569007,951733,129113
135610,3763,16580189,16569007,953918,129662
136014,3870,16580189,16569007,956292,129770
136744,3863,16580189,16569007,958886,130287
136475,3940,16580189,16569007,960692,130729
136313,3931,16580189,16569007,962551,130523
136377,4050,16580189,16569007,963408,131470
136456,3988,16580189,16569007,964500,131376
137278,3973,16580189,16569007,966374,131431
137717,4083,16580189,16569007,968125,131883
137201,4013,16580189,16569007,968717,132596
137766,4012,16580189,16569007,969856,132615
138507,3861,16580189,16569007,972037,132465
137374,4061,16580189,16569007,973036,132314
137724,3974,16580189,16569007,974283,132503
138436,4052,16580189,16569007,975597,133070
139075,3999,16580189,16569007,977061,133612
138248,3961,16580189,16569007,977965,133383
138927,4038,16580189,16569007,979221,133633
138635,3989,16580189,16569007,979365,134502
138872,3931,16580189,16569007,980885,133421
138897,4038,16580189,16569007,981678,134066
139452,3968,16580189,16569007,983090,134072
139075,4083,16580189,16569007,983089,134993
139536,4136,16580189,16569007,984304,134185
139318,4115,16580189,16569007,984649,134858
140116,4012,16580189,16569007,986044,134709
139516,4080,16580189,16569007,986958,134522
140091,4130,16580189,16569007,988071,134848
139866,4076,16580189,16569007,988442,135419
139769,3987,16580189,16569007,989103,135121
140543,3996,16580189,16569007,990140,135510
139966,4056,16580189,16569007,990604,135446
140714,4094,16580189,16569007,991559,135665
139813,4014,16580189,16569007,991748,135610
139687,4049,16580189,16569007,991468,135918
140621,4121,16580189,16569007,991971,135997
140420,4059,16580189,16569007,992848,135484
140450,3977,16580189,16569007,992750,136571
140482,4028,16580189,16569007,993209,135995
140230,4068,16580189,16569007,992742,136629
140271,4068,16580189,16569007,993270,135675
140407,4079,16580189,16569007,993873,135725
